Table 2
System Classifications for All 207 of Our Periodic Objects

Name	Color Class	Spectral Class	Binary Class_g	Binary Class_r	Binary Class_i	
SDSS J211314.48+000946.0	M1	 sdotsdotsdot 	ESD/ED	ED	ED	
SDSS J211343.89+004544.3	M3	 sdotsdotsdot 	ESD/ED	ESD	ESD/ED	
SDSS J211428.41-010357.2	M1+WD	M+WD	EC*	EC	EC/ESD	
SDSS J211447.03-002902.1	M1	 sdotsdotsdot 	ESD	ESD	ESD/ED	
SDSS J211529.11-001859.6	M4+WD	 sdotsdotsdot 	ESD	ED	ED	
SDSS J211552.58+010820.5	M4+WD	 sdotsdotsdot 	ED*	ED	ED	
SDSS J211710.61-003141.2	M2	 sdotsdotsdot 	ED*	ED	ED	
SDSS J211735.06+000744.4	M2	 sdotsdotsdot 	ED	ED*	ED	
SDSS J211752.59-001203.3	M1	 sdotsdotsdot 	ESD	ESD	ESD	
SDSS J212203.13-010053.3	M1	 sdotsdotsdot 	ED*	ED*	ED	
SDSS J212257.90-003639.9	M2	 sdotsdotsdot 	ESD	ED*	ED*	
SDSS J212317.32+001452.8	M3+WD	 sdotsdotsdot 	ED*	ED*	ED*	
SDSS J212323.18+001239.8	M1	 sdotsdotsdot 	EC	EC	ESD	
SDSS J212404.80+002456.9	M2	 sdotsdotsdot 	ED	ED*	ED	
SDSS J212404.88-000103.6	M5	 sdotsdotsdot 	ESD/ED	ESD/ED	ESD	
SDSS J212459.14+005441.1	M4+WD	 sdotsdotsdot 	EC	EC	ESD	
SDSS J212531.92-010745.8	WD	WD	EC*	EC*	EC*	
SDSS J212723.59-005210.8	M4	 sdotsdotsdot 	EC/ESD	EC/ESD	ESD/ED	
SDSS J212806.16-001458.9	M4	 sdotsdotsdot 	ED	ED	ED	
SDSS J212834.81+004127.6	M4	 sdotsdotsdot 	ESD	ESD	ESD	
SDSS J212923.44+005652.6	M1	 sdotsdotsdot 	ED*	ED*	ED*	
SDSS J213102.62+003132.6	M0	 sdotsdotsdot 	ED	ESD/ED	ED	
SDSS J213113.99-005125.4	M0	 sdotsdotsdot 	ED	ED	ED	
SDSS J213217.11-004923.2	M1	 sdotsdotsdot 	EC	ESD	ESD	
SDSS J213604.35+010304.2	M1	 sdotsdotsdot 	ESD	ED	ED	
SDSS J213651.60+010245.5	M0	 sdotsdotsdot 	ED*	ED*	ED*	
SDSS J213804.17+001240.6	M3+WD	 sdotsdotsdot 	ED*	ED*	ED*	
SDSS J214043.65-010713.0	M5+WD	 sdotsdotsdot 	EC*	EC	EC/ESD	
SDSS J214049.37+010814.0	M1	 sdotsdotsdot 	ED*	ED	ED	
SDSS J214109.00+011114.4	M0	 sdotsdotsdot 	ED	ED	ED	
SDSS J214426.03+004517.0	M1	 sdotsdotsdot 	EC	EC	EC	
SDSS J214439.75+011215.7	M0	 sdotsdotsdot 	ESD	ESD/ED	ESD	
SDSS J214559.50+005714.2	M0	 sdotsdotsdot 	ED	ED	ED	
SDSS J214617.64+004536.1	M2+WD	 sdotsdotsdot 	ED	ED	ED	
SDSS J214758.26-001130.6	M2	 sdotsdotsdot 	ESD	ESD	ESD/ED	
SDSS J214824.41+005847.1	M1	 sdotsdotsdot 	ED	ED	ED*	
SDSS J215136.74-001400.6	M2	 sdotsdotsdot 	ESD/ED	ESD/ED	ED	
SDSS J215248.73-011012.1	M5+WD	 sdotsdotsdot 	EC/ESD	EC	EC/ESD	
SDSS J215258.38-005309.3	M1	 sdotsdotsdot 	EC	EC	EC	
SDSS J215802.85+002643.3	M1	 sdotsdotsdot 	ED	ED	ED	
SDSS J215811.08+002246.9	M0	 sdotsdotsdot 	ESD	ED	ED	
SDSS J215934.50+005652.7	M0+WD	K5	ED	ED	ED	
SDSS J222234.92-001655.0	M4+WD	 sdotsdotsdot 	ESD	ESD	EC/ESD	
SDSS J222348.84-005332.6	M0	 sdotsdotsdot 	ESD	ESD	ESD	
SDSS J223019.23-001155.1	M1	 sdotsdotsdot 	ED	ESD	ESD/ED	
SDSS J224718.54+001741.0	M2	 sdotsdotsdot 	ESD	ESD/ED	EC/ESD	
SDSS J224836.22+005707.6	M3	 sdotsdotsdot 	EC	EC	EC/ESD	
SDSS J230032.79-002318.0	M2+WD	 sdotsdotsdot 	ESD	ESD	ED	
SDSS J230037.41+003159.7	M2	 sdotsdotsdot 	ED	ED	ED	
SDSS J230039.13+004952.7	M4+WD	 sdotsdotsdot 	ED	ESD/ED	ESD	
SDSS J230134.00-001912.0	M0	 sdotsdotsdot 	ED	ED	ED	
SDSS J230257.39+005011.4	M1+WD	 sdotsdotsdot 	ED	ED	ED	
SDSS J230524.26+004746.8	M1	 sdotsdotsdot 	ED*	ED*	ED*	
SDSS J230608.92+001142.3	M1	 sdotsdotsdot 	EC	ESD	ESD	
SDSS J230713.29-011437.1	WD	 sdotsdotsdot 	EC*	EC*	EC*	
SDSS J230939.86+010417.0	M2	 sdotsdotsdot 	ED	ED	ED	
SDSS J231437.24-011212.8	M1	 sdotsdotsdot 	ESD	EC/ESD	EC/ESD	
SDSS J231611.41+005151.1	M4	 sdotsdotsdot 	ESD	ESD	ESD/ED	
SDSS J231823.93-004415.2	M1	 sdotsdotsdot 	EC	EC	EC	
SDSS J231901.29+000319.2	M1	 sdotsdotsdot 	ESD	ESD	ESD	
SDSS J232055.10+002745.3	M3	 sdotsdotsdot 	ESD	EC	EC	
SDSS J232122.34-001928.7	M0	 sdotsdotsdot 	ESD/ED	ED	ED	
SDSS J232326.66+000309.9	M1	 sdotsdotsdot 	ED	ED	ED	
SDSS J232641.19+004744.1	M0	 sdotsdotsdot 	ESD	ESD	ESD	
SDSS J233408.77+002704.4	M2	 sdotsdotsdot 	ESD	ESD	ESD	
SDSS J233538.33-002927.3	M5+WD	 sdotsdotsdot 	EC	EC	EC*	
SDSS J234309.23-005717.1	M4+WD	 sdotsdotsdot 	EC*	EC*	EC*	
SDSS J234541.84+002621.1	M1+WD	M1	ED	ED	ED	
SDSS J234809.83-003156.4	M1	 sdotsdotsdot 	ED	ED	ESD/ED	
SDSS J235320.34+001614.1	M4	M4	ESD/ED	EC	ESD	
SDSS J235540.00-000343.0	M2	 sdotsdotsdot 	ED	ED	ED	
SDSS J000308.69+000749.0	M4	 sdotsdotsdot 	EC	ESD	ESD	
SDSS J000436.67+010537.6	M4+WD	 sdotsdotsdot 	ED	ESD	ED	
SDSS J000753.50+001759.7	M2	M2	ED	ED	ED	
SDSS J000906.42-000753.1	M2	 sdotsdotsdot 	ED	ED	ED	
SDSS J001641.03-000925.2	M1	M0	EC	EC	EC	
SDSS J002836.99-004514.9	M0	 sdotsdotsdot 	EC	EC	EC	
SDSS J003023.53+001432.7	M4	M4	ED	ESD/ED	ESD/ED	
SDSS J003034.05+003916.9	M0	 sdotsdotsdot 	ESD	ESD	ESD/ED	
SDSS J003042.11+003420.1	M3	M4	ESD	ED	ED	
SDSS J003316.30-001752.2	M4	M4	ESD/ED	ESD	ESD/ED	
SDSS J003322.03-005552.6	M1	M1	ED*	ED*	ED*	
SDSS J003628.06-003124.8	M1+WD	M+WD	ESD/ED	EC/ESD	EC/ESD	
SDSS J003841.29+010756.0	M1	M1	ED*	ED*	ED*	
SDSS J005506.78-005702.4	M4	M4	ESD	ED	ED	
SDSS J005705.17+000704.7	M4	 sdotsdotsdot 	ED	ED	ED	
SDSS J005841.71+011337.8	M1	 sdotsdotsdot 	ED	ED	ED*	
SDSS J012119.10-001949.9	M0	M0	EC*	EC*	EC	
SDSS J013125.14-011100.1	M4	 sdotsdotsdot 	ED*	ED*	ED*	
SDSS J013155.94-004224.7	M5	 sdotsdotsdot 	ED	ED	ED	
SDSS J013851.54-001621.6	M5+WD	M5	EC	EC	EC	
SDSS J015940.00+010328.4	M0	 sdotsdotsdot 	ED	ED	ED	
SDSS J020448.41+011052.2	M1	 sdotsdotsdot 	ESD	ESD	ESD	
SDSS J021121.56-003808.3	M1	 sdotsdotsdot 	ED	ED	ED	
SDSS J022548.47+004907.1	M0	M0	ED	ED	ED	
SDSS J023614.59-002814.4	M4	 sdotsdotsdot 	ED*	ED	ED*	
SDSS J023857.17-000428.9	M2	 sdotsdotsdot 	ESD/ED	ESD/ED	ED	
SDSS J024013.79-003759.7	M1	 sdotsdotsdot 	ESD/ED	ESD/ED	ESD/ED	
