#Catalina_Surveys_ID Numerical_ID ra dec V_(mag) Period_(days) Amplitude Number_Obs Var_Type ra_deg dec_deg
CSS_J212531.9-010745 1001115051743 21:25:31.91 -01:07:45.8 17.58 0.2898170 0.67 297 16 321.382958333 -0.870611111111
CSS_J212544.5-013236 1001115039053 21:25:44.52 -01:32:36.2 14.88 0.315948 0.27 299 1 321.4355 -0.456611111111
CSS_J212550.3+011503 1101115041439 21:25:50.38 +01:15:03.9 16.07 0.372942 0.19 314 1 321.459916667 1.25108333333
CSS_J212551.1-012345 1001115043510 21:25:51.17 -01:23:45.2 17.57 0.283559 0.41 298 1 321.463208333 -0.604111111111
CSS_J212606.2+002242 1101115013707 21:26:06.25 +00:22:42.7 12.21 0.4129856 0.62 314 1 321.526041667 0.378527777778
CSS_J212609.1+011147 1101115039414 21:26:09.14 +01:11:47.9 19.1 0.233594 0.54 292 1 321.538083333 1.19663888889
CSS_J212613.8+003612 1101115020195 21:26:13.81 +00:36:12.1 16.68 0.22378 0.39 314 1 321.557541667 0.603361111111
CSS_J212630.7-010317 1001115054337 21:26:30.72 -01:03:17.6 15.55 0.626876 0.32 299 1 321.628 -0.945111111111
CSS_J212633.9+001947 1101115011339 21:26:33.91 +00:19:47.6 14.94 0.278082 0.5 314 1 321.641291667 0.329888888889
CSS_J212651.4+000521 1101115003507 21:26:51.44 +00:05:21.0 17.82 0.2753547 0.25 311 5 321.714333333 0.0891666666667
CSS_J212719.5-005809 1001115056973 21:27:19.54 -00:58:09.0 16.85 0.366478 0.31 298 1 321.831416667 0.969166666667
CSS_J212730.1-001627 1001115079650 21:27:30.19 -00:16:27.9 17.08 1.0390420 0.45 298 2 321.875791667 0.274416666667
CSS_J212754.5+001338 1101115007805 21:27:54.50 +00:13:38.2 16.06 0.298367 0.19 314 1 321.977083333 0.227277777778
CSS_J212757.4+004912 1101115027545 21:27:57.41 +00:49:12.4 13.41 0.387252 0.32 314 1 321.989208333 0.820111111111
CSS_J212818.7+002747 1101115015318 21:28:18.74 +00:27:47.4 18.05 0.291954 0.24 310 1 322.078083333 0.463166666667
CSS_J212820.1-001331 1001115080907 21:28:20.15 -00:13:31.8 16.99 0.3374 0.58 224 1 322.083958333 0.2255
CSS_J212833.0+002316 1101115013369 21:28:33.03 +00:23:16.1 15.18 0.282782 0.55 314 1 322.137625 0.387805555556
CSS_J212841.4+002804 1101115015579 21:28:41.48 +00:28:04.3 16.93 3.1743094 0.18 314 8 322.172833333 0.467861111111
CSS_J212848.1+005725 1101115031596 21:28:48.12 +00:57:25.7 18.52 0.545435 0.68 306 4 322.2005 0.957138888889
CSS_J212903.8-010624 1001115052656 21:29:03.81 -01:06:24.9 15.26 0.300189 0.23 299 1 322.265875 -0.893083333333
CSS_J212923.2+000225 1101115001807 21:29:23.29 +00:02:25.9 17.05 0.369503 0.18 295 1 322.347041667 0.0405277777778
CSS_J212923.4+005652 1101115031633 21:29:23.44 +00:56:52.8 14.59 0.947872 0.61 314 2 322.347666667 0.948
CSS_J212933.6-004329 1001115065608 21:29:33.64 -00:43:29.7 14.66 0.39766 0.41 299 5 322.390166667 0.724916666667
CSS_J212952.6-011018 1001115050640 21:29:52.68 -01:10:18.4 14.51 0.080586 0.31 299 11 322.4695 -0.828222222222
CSS_J212954.0-002229 1001115076693 21:29:54.06 -00:22:29.3 16.43 0.310908 0.21 299 1 322.47525 0.374805555556
CSS_J213020.9+010016 1101115033488 21:30:20.96 +01:00:16.4 16.21 0.3017618 0.39 314 5 322.587333333 1.00455555556
CSS_J213032.7+000405 1101115003108 21:30:32.74 +00:04:05.4 13.86 3.1356022 0.81 307 2 322.636416667 0.0681666666667
CSS_J213037.5-012123 1001115044853 21:30:37.54 -01:21:23.0 15.86 0.264876 0.58 299 1 322.656416667 -0.643611111111
CSS_J213100.3-013933 1001115035707 21:31:00.39 -01:39:33.4 14.38 0.764084 0.55 299 2 322.751625 -0.340722222222
CSS_J213113.4+005915 1101115032858 21:31:13.47 +00:59:15.3 16.25 0.3942466 0.43 314 5 322.806125 0.987583333333
CSS_J213123.2-013847 1001115035610 21:31:23.26 -01:38:47.3 17.75 0.47947 0.41 295 2 322.846916667 -0.353527777778
CSS_J213133.2+010121 1101115034096 21:31:33.23 +01:01:21.2 13.86 0.253398 0.49 314 1 322.888458333 1.02255555556
CSS_J213140.8+010006 1101115033160 21:31:40.89 +01:00:06.1 18.22 0.260552 0.42 309 1 322.920375 1.00169444444
CSS_J213216.1-010249 1001115054775 21:32:16.17 -01:02:49.4 14.63 0.5456927 0.35 299 2 323.067375 -0.952944444444
CSS_J213217.0-004923 1001115061798 21:32:17.09 -00:49:23.3 16.73 0.317901 0.29 299 1 323.071208333 0.823138888889
CSS_J213252.2+005608 1101115031032 21:32:52.26 +00:56:08.7 16.47 0.3058755 0.46 314 5 323.21775 0.93575
CSS_J213254.0-013747 1001115036397 21:32:54.09 -01:37:47.2 14.63 0.270057 0.26 299 1 323.225375 -0.370222222222
CSS_J213306.0-014903 1001115030473 21:33:06.06 -01:49:03.1 14.84 0.447134 0.23 296 1 323.27525 -0.182472222222
CSS_J213313.9-010105 1001115055427 21:33:13.97 -01:01:05.3 15.83 0.3619916 0.33 295 5 323.308208333 -0.981861111111
CSS_J213316.5-002956 1001115073143 21:33:16.51 -00:29:56.4 12.92 0.3166492 0.31 295 5 323.318791667 0.499
CSS_J213327.4+010100 1101115033928 21:33:27.47 +01:01:00.5 16.22 0.293979 0.4 306 1 323.364458333 1.01680555556
CSS_J213328.7+011230 1101115040079 21:33:28.73 +01:12:30.4 15.49 0.3360326 0.42 301 5 323.369708333 1.20844444444
CSS_J213343.3+011317 1101116035971 21:33:43.35 +01:13:17.2 17.22 0.23413 0.6 275 1 323.430625 1.22144444444
CSS_J213352.9-003629 1001116065106 21:33:52.96 -00:36:29.4 19.1 0.247474 0.76 220 1 323.470666667 0.608166666667
CSS_J213353.0-004758 1001116059735 21:33:53.08 -00:47:58.4 15.87 0.2863134 0.26 279 6 323.471166667 0.799555555556
CSS_J213415.9-012743 1001116040294 21:34:15.90 -01:27:43.5 14.18 0.39512 0.36 279 1 323.56625 -0.537916666667
CSS_J213437.4-003940 1001116063863 21:34:37.44 -00:39:40.0 15.41 0.542918 0.49 279 1 323.656 0.661111111111
CSS_J213444.6+005617 1101116067268 21:34:44.65 +00:56:17.0 14.77 0.24012 0.23 298 1 323.686041667 0.938055555556
CSS_J213446.6+003303 1101116016727 21:34:46.69 +00:33:03.2 13.34 0.549444 0.39 299 1 323.694541667 0.550888888889
CSS_J213449.2-012131 1001116043022 21:34:49.21 -01:21:31.3 17.4 0.259494 0.63 276 1 323.705041667 -0.641305555556
CSS_J213502.6+002115 1101116010837 21:35:02.61 +00:21:15.9 13.95 0.31526 0.17 299 1 323.760875 0.354416666667
CSS_J213511.9+003721 1101116018411 21:35:11.96 +00:37:21.2 16.3 0.0872576 0.37 298 11 323.799833333 0.622555555556
CSS_J213518.7+000704 1101116003945 21:35:18.75 +00:07:04.5 14.77 0.362524 0.26 299 1 323.828125 0.117916666667
CSS_J213541.7+004340 1101116021759 21:35:41.77 +00:43:40.0 14.11 0.313545 0.22 299 1 323.924041667 0.727777777778
CSS_J213607.1-013841 1001116034836 21:36:07.15 -01:38:41.4 15.01 0.096607 0.2 279 11 324.029791667 -0.355166666667
CSS_J213623.2-002408 1001116071298 21:36:23.23 -00:24:08.5 15.81 0.3976777 0.36 279 5 324.096791667 0.402361111111
CSS_J213629.8-003113 1001116067944 21:36:29.86 -00:31:13.3 14.55 0.301374 0.57 279 1 324.124416667 0.520361111111
CSS_J213719.6-025933 1004116073917 21:37:19.68 -02:59:33.0 15.3 0.639076 0.68 284 2 324.332 -1.0075
CSS_J213722.3-025758 1004116077180 21:37:22.32 -02:57:58.1 16.83 0.344278 0.51 286 1 324.343 -1.03386111111
CSS_J213817.4-002456 1001116070726 21:38:17.41 -00:24:56.9 17.4 0.240016 0.31 277 1 324.572541667 0.415805555556
CSS_J213837.7+002429 1101116012132 21:38:37.76 +00:24:29.8 16.07 0.357031 0.28 299 1 324.657333333 0.408277777778
CSS_J213845.2+002332 1101116011622 21:38:45.25 +00:23:32.7 18.06 0.3879281 0.36 287 5 324.688541667 0.392416666667
CSS_J213851.6+000012 1101116000576 21:38:51.64 +00:00:12.8 17.05 0.296572 0.76 213 1 324.715166667 0.00355555555556
CSS_J213906.8-004838 1001116059370 21:39:06.89 -00:48:38.7 15.06 0.321106 0.29 278 1 324.778708333 0.81075
CSS_J213925.0+002822 1101116013978 21:39:25.08 +00:28:22.6 16.31 0.382014 0.13 299 1 324.8545 0.472944444444
CSS_J214001.5-002512 1001116070818 21:40:01.51 -00:25:12.4 15.11 1.2681 0.75 278 2 325.006291667 0.420111111111
CSS_J214022.9+011505 1101116036809 21:40:22.96 +01:15:05.4 16.71 1.40531 0.46 299 2 325.095666667 1.2515
CSS_J214032.0+010347 1101116031403 21:40:32.07 +01:03:47.9 15.09 0.247502 0.27 299 1 325.133625 1.06330555556
CSS_J214033.1-002405 1001116071373 21:40:33.13 -00:24:05.0 15.61 0.255302 0.25 279 1 325.138041667 0.401388888889
CSS_J214100.6+010939 1101116034681 21:41:00.68 +01:09:39.7 12.76 0.7619889 0.31 299 1 325.252833333 1.16102777778
CSS_J214129.6+004459 1101116022078 21:41:29.66 +00:44:59.9 15.73 0.257904 0.23 299 1 325.373583333 0.749972222222
CSS_J214149.6+011056 1101116034816 21:41:49.62 +01:10:56.0 16.9 0.286606 0.34 299 1 325.45675 1.18222222222
CSS_J214226.5-001315 1001116076245 21:42:26.58 -00:13:15.4 17.19 0.348286 0.15 277 1 325.61075 0.220944444444
CSS_J214230.3-002228 1001116071888 21:42:30.37 -00:22:28.0 17.62 0.247446 0.53 276 1 325.626541667 0.374444444444
CSS_J214354.1-001341 1001116076392 21:43:54.13 -00:13:41.5 13.75 0.306779 0.55 279 1 325.975541667 0.228194444444
CSS_J214559.5+005714 1101117025224 21:45:59.50 +00:57:14.0 16.5 0.394914 0.28 283 2 326.497916667 0.953888888889
CSS_J214602.6+002517 1101117011360 21:46:02.63 +00:25:17.0 14.51 0.825338 0.61 283 1 326.510958333 0.421388888889
CSS_J214605.7+010848 1101117030452 21:46:05.74 +01:08:48.7 15.6 0.24355 0.61 282 1 326.523916667 1.14686111111
CSS_J214609.7-011320 1001117041841 21:46:09.77 -01:13:20.6 15.96 0.334433 0.12 263 1 326.540708333 -0.777611111111
CSS_J214610.0-010647 1001117045549 21:46:10.01 -01:06:47.9 12.62 0.285142 0.38 263 1 326.541708333 -0.886694444444
CSS_J214629.1-024557 1001117001806 21:46:29.10 -02:45:57.8 16.96 0.331052 0.4 260 5 326.62125 -1.23394444444
CSS_J214645.3+010742 1101117029851 21:46:45.39 +01:07:42.0 16.14 1.62411 0.28 283 2 326.689125 1.12833333333
CSS_J214646.0+004242 1101117018879 21:46:46.05 +00:42:42.9 14.0 1.5930234 0.07 283 16 326.691875 0.711916666667
CSS_J214720.5+003503 1101117015168 21:47:20.57 +00:35:03.9 19.21 0.5013094 0.87 268 4 326.835708333 0.584416666667
CSS_J214725.6-013034 1001117034491 21:47:25.69 -01:30:34.1 14.45 0.448504 0.26 263 1 326.857041667 -0.490527777778
CSS_J214750.5+001527 1101117007412 21:47:50.51 +00:15:27.9 13.65 1.58604 0.26 283 2 326.960458333 0.25775
CSS_J214804.8+002201 1101117010735 21:48:04.87 +00:22:01.9 12.37 214.592 1.65 284 13 327.020291667 0.367194444444
CSS_J214811.4-010102 1001117047567 21:48:11.41 -01:01:02.7 17.59 0.252224 0.62 266 1 327.047541667 -0.982583333333
CSS_J214812.9+003346 1101117014692 21:48:12.93 +00:33:46.9 18.76 0.308536 0.57 266 1 327.053875 0.563027777778
CSS_J214833.3+005831 1101117026355 21:48:33.30 +00:58:31.2 12.44 108.778 0.41 283 13 327.13875 0.975333333333
CSS_J214838.2+011539 1101117033263 21:48:38.24 +01:15:39.0 18.0 0.810922 0.28 273 2 327.159333333 1.26083333333
CSS_J214851.2+002427 1101117010894 21:48:51.28 +00:24:27.4 14.26 89.055154 0.24 283 8 327.213666667 0.407611111111
CSS_J215002.0-005400 1001117050657 21:50:02.03 -00:54:00.7 16.7 0.635062 0.2 262 1 327.508458333 0.900194444444
CSS_J215013.7-005742 1001117049038 21:50:13.76 -00:57:42.8 16.28 0.276708 0.14 262 1 327.557333333 0.961888888889
CSS_J215054.7-011748 1001117039663 21:50:54.77 -01:17:48.0 16.9 1.3262160 0.33 262 2 327.728208333 -0.703333333333
CSS_J215102.4-001901 1001117065146 21:51:02.48 -00:19:01.3 18.2 0.6758350 0.4 257 4 327.760333333 0.317027777778
CSS_J215113.7+001956 1101117008927 21:51:13.70 +00:19:56.0 15.4 1.0489228 0.94 281 2 327.807083333 0.332222222222
CSS_J215133.9-005731 1001117049173 21:51:33.96 -00:57:31.3 14.79 280.90737 0.17 261 8 327.8915 0.958694444444
CSS_J215146.8-025918 1004117072306 21:51:46.82 -02:59:18.1 15.59 0.486556 0.16 261 1 327.945083333 -1.01163888889
CSS_J215203.0+010742 1101117029766 21:52:03.05 +01:07:42.8 16.48 0.85126 0.27 281 2 328.012708333 1.12855555556
CSS_J215215.6-002831 1001117061636 21:52:15.63 -00:28:31.7 14.48 0.25179 0.17 261 1 328.065125 0.475472222222
CSS_J215226.5+005356 1101117023650 21:52:26.51 +00:53:56.8 15.63 0.290104 0.36 281 1 328.110458333 0.899111111111
CSS_J215235.1-002317 1001117063654 21:52:35.11 -00:23:17.6 14.94 0.527057 0.53 261 2 328.146291667 0.388222222222
CSS_J215412.7-001808 1001117066057 21:54:12.73 -00:18:08.1 12.62 1.52306 0.76 262 2 328.553041667 0.30225
CSS_J215447.3-014315 1001117028827 21:54:47.33 -01:43:15.8 15.49 0.261976 0.45 251 1 328.697208333 -0.278944444444
CSS_J215503.9+002116 1101117009340 21:55:03.99 +00:21:16.2 17.59 4.6723076 0.97 281 2 328.766625 0.3545
CSS_J215555.7+004236 1101117018665 21:55:55.73 +00:42:36.5 15.34 0.319195 0.16 270 1 328.982208333 0.710138888889
CSS_J215556.1+000304 1101117002097 21:55:56.18 +00:03:04.7 13.86 0.276564 0.27 264 1 328.984083333 0.0513055555556
CSS_J215601.9+001736 1101117008041 21:56:01.97 +00:17:36.7 14.14 0.2729399 0.44 241 5 329.008208333 0.293527777778
CSS_J215633.5-010826 1001118040941 21:56:33.56 -01:08:26.4 16.29 0.336096 0.16 239 1 329.139833333 -0.859333333333
CSS_J215653.5-015026 1001118023415 21:56:53.59 -01:50:26.9 15.76 0.299238 0.12 239 1 329.223291667 -0.159194444444
CSS_J215705.0+011547 1101118032771 21:57:05.02 +01:15:47.0 16.84 0.327687 0.54 273 1 329.270916667 1.26305555556
CSS_J215717.4-000344 1001118068781 21:57:17.45 -00:03:44.4 18.74 0.5098859 0.83 251 4 329.322708333 0.0623333333333
CSS_J215722.9-005846 1001118045029 21:57:22.94 -00:58:46.9 15.06 0.2541456 0.23 239 5 329.345583333 0.979694444444
CSS_J215727.4+003211 1101118013786 21:57:27.43 +00:32:11.9 17.07 0.294848 0.42 273 1 329.364291667 0.536638888889
CSS_J215740.1+001706 1101118007539 21:57:40.18 +00:17:06.7 16.28 0.3386275 0.36 273 5 329.417416667 0.285194444444
CSS_J215811.0+002246 1101118009987 21:58:11.06 +00:22:46.9 15.2 0.396564 0.61 273 2 329.546083333 0.379694444444
CSS_J215832.4+000540 1101118002846 21:58:32.41 +00:05:40.9 15.57 1.8844209 0.61 273 2 329.635041667 0.0946944444444
CSS_J215845.9-014900 1001118023985 21:58:45.99 -01:49:00.8 16.97 0.425628 0.18 238 1 329.691625 -0.183111111111
CSS_J215856.9-004039 1001118052598 21:58:56.95 -00:40:39.4 12.98 0.7076059 0.23 239 1 329.737291667 0.677611111111
CSS_J215932.6-004425 1001118051027 21:59:32.65 -00:44:25.7 17.04 0.344823 0.31 237 5 329.886041667 0.740472222222
CSS_J220000.0+011505 1101118032667 22:00:00.05 +01:15:05.5 13.77 0.32331 0.15 273 1 330.000208333 1.25152777778
CSS_J220013.8-012312 1001118034927 22:00:13.84 -01:23:12.5 16.17 0.4381984 0.23 239 2 330.057666667 -0.613194444444
CSS_J220019.0+010408 1101118027446 22:00:19.09 +01:04:08.2 16.77 0.23695 0.13 273 1 330.079541667 1.06894444444
CSS_J220128.5+004712 1101118020099 22:01:28.59 +00:47:12.6 16.17 509.91424 0.24 273 8 330.369125 0.786833333333
CSS_J220137.2-014443 1001118025761 22:01:37.25 -01:44:43.2 15.86 5.4541 0.57 239 2 330.405208333 -0.254666666667
CSS_J220156.6+011155 1101118030862 22:01:56.61 +01:11:55.9 18.0 0.297833 0.23 270 5 330.485875 1.19886111111
CSS_J220209.6-014758 1001118024676 22:02:09.61 -01:47:58.0 13.11 0.277804 0.46 239 1 330.540041667 -0.200555555556
CSS_J220233.9+011421 1101118032256 22:02:33.98 +01:14:21.4 15.11 0.410377 0.2 273 1 330.641583333 1.23927777778
CSS_J220254.6+005737 1101118024929 22:02:54.67 +00:57:37.6 13.5 0.887277 0.17 273 1 330.727791667 0.960444444444
CSS_J220343.1-010227 1001118043448 22:03:43.13 -01:02:27.9 15.84 0.25938 0.62 239 1 330.929708333 -0.958916666667
CSS_J220345.1-003217 1001118056036 22:03:45.14 -00:32:17.0 18.35 0.5854212 0.5 282 4 330.938083333 0.538055555556
CSS_J220416.7+005755 1101118024751 22:04:16.75 +00:57:55.5 16.13 0.5003169 0.71 331 4 331.069791667 0.965416666667
CSS_J220440.9-024740 1001118001121 22:04:40.93 -02:47:40.3 15.81 0.298962 0.22 228 1 331.170541667 -1.20547222222
CSS_J220543.0-002345 1001118065470 22:05:43.05 -00:23:45.5 12.65 0.26205 0.59 133 1 331.429375 0.395972222222
CSS_J220615.1-011232 1001118039341 22:06:15.17 -01:12:32.2 15.32 0.47443 0.38 239 2 331.563208333 -0.791055555556
CSS_J220654.2-010515 1001118042166 22:06:54.26 -01:05:15.6 17.64 0.3567357 0.35 237 5 331.726083333 -0.912333333333
CSS_J220814.1+001540 1101119006782 22:08:14.10 +00:15:40.2 15.17 0.242128 0.14 282 1 332.05875 0.261166666667
CSS_J220822.4+010501 1101119027140 22:08:22.42 +01:05:01.0 17.71 0.5020314 1.03 290 4 332.093416667 1.08361111111
CSS_J220950.9+002952 1101119012733 22:09:50.93 +00:29:52.2 14.24 0.388406 0.26 283 1 332.462208333 0.497833333333
CSS_J220955.9-003850 1001119049684 22:09:55.99 -00:38:50.6 16.32 0.3016434 0.44 263 5 332.483291667 0.647388888889
CSS_J221024.2-013220 1001119029793 22:10:24.27 -01:32:20.8 16.03 0.502122 0.25 263 2 332.601125 -0.460888888889
CSS_J221049.5+011233 1101119030708 22:10:49.59 +01:12:33.7 13.1 0.461176 0.16 283 1 332.706625 1.20936111111
CSS_J221149.4+010935 1101119029209 22:11:49.44 +01:09:35.2 15.48 0.344513 0.49 282 1 332.956 1.15977777778
CSS_J221158.5+001132 1101119005077 22:11:58.58 +00:11:32.4 16.43 0.2831222 0.43 283 6 332.994083333 0.192333333333
CSS_J221223.6+000457 1101119002396 22:12:23.60 +00:04:57.6 16.07 0.3505107 0.37 282 5 333.098333333 0.0826666666667
CSS_J221227.9-014654 1001119024202 22:12:27.99 -01:46:54.0 14.83 2.43398 0.46 263 8 333.116625 -0.218333333333
CSS_J221242.2-010358 1001119040389 22:12:42.26 -01:03:58.7 15.63 0.247082 0.33 263 1 333.176083333 -0.933694444444
CSS_J221316.8-003215 1001119052209 22:13:16.86 -00:32:15.6 16.94 0.3365876 0.39 262 5 333.32025 0.537666666667
CSS_J221318.1-000811 1001119060638 22:13:18.14 -00:08:11.9 12.67 0.367656 0.24 263 1 333.325583333 0.136638888889
CSS_J221353.2-013443 1001119028930 22:13:53.29 -01:34:43.5 13.64 0.4793754 0.29 263 6 333.472041667 -0.42125
CSS_J221429.4-003049 1001119052790 22:14:29.40 -00:30:49.5 15.43 0.306133 0.3 262 1 333.6225 0.51375
CSS_J221453.9-011514 1001119036344 22:14:53.96 -01:15:14.9 13.76 0.2708330 0.07 262 1 333.724833333 -0.745861111111
CSS_J221513.2-004926 1001119046090 22:15:13.20 -00:49:26.5 14.06 0.3608 0.18 261 1 333.805 0.824027777778
CSS_J221543.1-011053 1001119037610 22:15:43.18 -01:10:53.9 18.64 1.29802 0.5 258 2 333.929916667 -0.818361111111
CSS_J221610.6-011049 1001119037681 22:16:10.65 -01:10:49.8 17.48 0.264584 0.45 262 1 334.044375 -0.8195
CSS_J221657.3-000633 1001119064454 22:16:57.30 -00:06:33.1 18.41 2.23825 0.78 250 2 334.23875 0.109194444444
CSS_J221740.4-003022 1001119053119 22:17:40.41 -00:30:22.7 14.2 1.23752 0.24 262 2 334.418375 0.506305555556
CSS_J221957.0-003947 1001120051122 22:19:57.03 -00:39:47.5 12.25 0.327422 0.54 250 1 334.987625 0.663194444444
CSS_J222008.1-003911 1001120050659 22:20:08.13 -00:39:11.7 17.83 0.46 0.45 250 1 335.033875 0.65325
CSS_J222052.6-000207 1001120063777 22:20:52.65 -00:02:07.2 16.79 0.227532 0.39 202 1 335.219375 0.0353333333333
CSS_J222102.5+002633 1101120011066 22:21:02.56 +00:26:33.6 14.4 0.349177 0.4 273 5 335.260666667 0.442666666667
CSS_J222103.0-014615 1001120024457 22:21:03.07 -01:46:15.4 17.06 0.340219 0.44 250 1 335.262791667 -0.229055555556
CSS_J222207.9-011104 1001120038664 22:22:07.94 -01:11:04.4 13.43 0.440142 0.14 250 1 335.533083333 -0.815444444444
CSS_J222208.2-025822 1004120061783 22:22:08.26 -02:58:22.3 14.77 0.856566 0.49 248 2 335.534416667 -1.02713888889
CSS_J222214.2+010100 1101120025280 22:22:14.27 +01:01:00.3 17.35 0.3954745 0.37 273 5 335.559458333 1.01675
CSS_J222246.5-013749 1001120028013 22:22:46.51 -01:37:49.7 16.71 0.245756 0.81 250 1 335.693791667 -0.369527777778
CSS_J222301.4-003759 1001120051423 22:23:01.42 -00:37:59.2 15.18 0.329106 0.14 250 1 335.755916667 0.633111111111
CSS_J222326.3+002209 1101120009185 22:23:26.34 +00:22:09.0 16.65 0.275259 0.28 272 5 335.85975 0.369166666667
CSS_J222338.4+005346 1101120022324 22:23:38.47 +00:53:46.8 16.36 2.19468 0.12 271 1 335.910291667 0.896333333333
CSS_J222339.7-000629 1001120065360 22:23:39.79 -00:06:29.2 16.12 0.845681 0.14 250 2 335.915791667 0.108111111111
CSS_J222406.4+001504 1101120006186 22:24:06.44 +00:15:04.0 17.99 0.258702 0.65 272 1 336.026833333 0.251111111111
CSS_J222409.8-025529 1004120059569 22:24:09.82 -02:55:29.3 18.31 0.324568 0.36 244 5 336.040916667 -1.07519444444
CSS_J222420.0+010811 1101120028380 22:24:20.01 +01:08:11.0 15.6 0.39191 0.09 272 1 336.083375 1.13638888889
CSS_J222455.1+000242 1101120001347 22:24:55.15 +00:02:42.4 17.15 0.358949 0.38 261 5 336.229791667 0.0451111111111
CSS_J222527.2-001805 1001120059432 22:25:27.23 -00:18:05.6 17.43 0.3298045 0.39 250 5 336.363458333 0.301555555556
CSS_J222607.9-010308 1001120041620 22:26:07.98 -01:03:08.8 15.31 0.400348 0.42 250 1 336.53325 -0.947555555556
CSS_J222723.5-015102 1001120022590 22:27:23.54 -01:51:02.5 16.95 0.2412 0.18 250 1 336.848083333 -0.149305555556
CSS_J222733.5-001718 1001120060038 22:27:33.58 -00:17:18.5 13.13 0.374068 0.32 250 1 336.889916667 0.288472222222
CSS_J222734.5-003756 1001120051208 22:27:34.53 -00:37:56.6 17.26 0.315616 0.34 250 5 336.893875 0.632388888889
CSS_J222800.5+000419 1101120001923 22:28:00.59 +00:04:19.5 16.31 0.257116 0.19 272 1 337.002458333 0.0720833333333
CSS_J222807.0+002931 1101120012385 22:28:07.09 +00:29:31.1 14.81 0.275279 0.23 273 1 337.029541667 0.491972222222
CSS_J222829.1+010839 1101120028493 22:28:29.12 +01:08:39.0 17.06 0.248804 0.25 272 1 337.121333333 1.14416666667
CSS_J222916.3-002618 1001120055846 22:29:16.35 -00:26:18.4 14.71 0.4167740 0.15 250 2 337.318125 0.438444444444
CSS_J223005.1+005211 1101121020305 22:30:05.10 +00:52:11.9 16.58 0.2666 0.66 278 1 337.52125 0.869972222222
CSS_J223016.4+003632 1101121014047 22:30:16.44 +00:36:32.1 18.36 0.265325 0.54 276 1 337.5685 0.608916666667
CSS_J223029.2+000020 1101121000893 22:30:29.27 +00:00:20.1 14.24 0.365788 0.56 195 1 337.621958333 0.00558333333333
CSS_J223052.3+011419 1101121028565 22:30:52.39 +01:14:19.8 16.43 0.733517 0.16 278 1 337.718291667 1.23883333333
CSS_J223054.5-013538 1001121025979 22:30:54.50 -01:35:38.3 15.52 1.49388 0.44 269 2 337.727083333 -0.406027777778
CSS_J223057.5-000324 1001121059882 22:30:57.51 -00:03:24.8 16.44 0.3123185 0.42 239 5 337.739625 0.0568888888889
CSS_J223214.7-015323 1001121019355 22:32:14.75 -01:53:23.2 19.15 0.372922 0.62 246 5 338.061458333 -0.110222222222
CSS_J223235.3-010140 1001121038970 22:32:35.34 -01:01:40.2 13.95 0.59639 0.26 269 1 338.14725 -0.972166666667
CSS_J223242.4-024824 1001121000679 22:32:42.48 -02:48:24.3 17.29 0.442138 0.52 228 1 338.177 -1.19325
CSS_J223249.1+001523 1101121006247 22:32:49.10 +00:15:23.9 17.98 0.234052 0.3 278 1 338.204583333 0.256638888889
CSS_J223251.2-024905 1001121000543 22:32:51.27 -02:49:05.9 15.47 0.3644042 0.44 200 5 338.213625 -1.18169444444
CSS_J223307.9-014820 1001121021750 22:33:07.92 -01:48:20.1 12.45 0.2547231 0.25 269 5 338.283 -0.194416666667
CSS_J223355.8+002450 1101121010377 22:33:55.84 +00:24:50.4 12.21 0.238654 0.29 278 1 338.482666667 0.414
CSS_J223420.4-002930 1001121050809 22:34:20.43 -00:29:30.4 15.82 0.296015 0.23 269 1 338.585125 0.491777777778
CSS_J223425.2+003425 1101121013266 22:34:25.22 +00:34:25.3 17.3 0.250581 0.41 278 1 338.605083333 0.573694444444
CSS_J223427.5-013631 1001121025590 22:34:27.58 -01:36:31.2 17.41 0.30239 0.68 269 1 338.614916667 -0.391333333333
CSS_J223436.1-024742 1001121000906 22:34:36.18 -02:47:42.7 15.53 0.7669064 0.43 238 1 338.65075 -1.20480555556
CSS_J223451.6+001506 1101121006253 22:34:51.67 +00:15:06.4 16.21 0.232934 0.1 278 1 338.715291667 0.251777777778
CSS_J223552.1-005035 1001121042868 22:35:52.10 -00:50:35.4 17.41 0.7402795 0.4 269 2 338.967083333 0.843166666667
CSS_J223637.5-011927 1001121032066 22:36:37.54 -01:19:27.5 16.86 0.3129061 0.16 269 1 339.156416667 -0.675694444444
CSS_J223743.7+001753 1101121007213 22:37:43.70 +00:17:53.7 16.92 0.222916 0.54 278 1 339.432083333 0.29825
CSS_J223808.5-003044 1001121050509 22:38:08.50 -00:30:44.5 14.57 0.29832 0.19 269 1 339.535416667 0.512361111111
CSS_J223848.1-014039 1001121024262 22:38:48.17 -01:40:39.4 15.06 0.345754 0.38 269 1 339.700708333 -0.322388888889
CSS_J223855.0-024835 1001121000570 22:38:55.07 -02:48:35.4 17.24 0.229004 0.39 213 1 339.729458333 -1.19016666667
CSS_J223908.3-002604 1001121052407 22:39:08.34 -00:26:04.6 13.15 110.98526 1.06 269 13 339.78475 0.434611111111
CSS_J223912.5-003514 1001121048801 22:39:12.50 -00:35:14.1 14.08 0.345728 0.34 269 1 339.802083333 0.58725
CSS_J223920.8-011742 1001121032530 22:39:20.88 -01:17:42.0 17.59 0.259468 0.34 268 1 339.837 -0.705
